
Data Filename: us_ha_sampling_align.fasta
Data Title: fasta file
Amino acid Frequencies
Sites Used: All selected
All frequencies are given in percent.
Domain: Data
                                                                 Ala   Cys   Asp   Glu   Phe   Gly   His   Ile   Lys   Leu   Met   Asn   Pro   Gln   Arg   Ser   Thr   Val   Trp   Tyr   Total
EPI ISL 294296|A/Maryland/87/2017|2017-09-26                      6.18  3.18  5.48  4.95  4.06  7.07  2.12  8.83  6.18  7.77  1.59  8.30  3.53  4.42  4.77  6.89  5.30  4.24  1.94  3.18   566 
EPI ISL 294277|A/Maryland/64/2017|2017-09-24                      6.18  3.18  5.48  4.95  4.06  7.07  2.12  8.83  6.18  7.77  1.59  8.30  3.53  4.42  4.77  6.89  5.30  4.24  1.94  3.18   566 
EPI ISL 234473|A/Michigan/90/2016|2016-08-17                      6.36  3.18  5.48  5.12  4.06  7.07  2.30  8.83  6.36  7.77  1.59  7.77  3.53  4.42  4.77  6.89  5.30  4.24  1.94  3.00   566 
EPI ISL 232045|A/Ohio/28/2016|2016-08-04                          6.37  3.19  5.49  5.13  4.07  7.08  2.30  8.85  6.37  7.61  1.59  7.79  3.54  4.42  4.78  6.90  5.31  4.25  1.95  3.01   565 
EPI ISL 130206|A/Hawaii/27/2012|2012-08-24                        5.66  3.19  5.31  4.96  4.07  7.26  1.95  9.03  6.19  7.43  1.42  7.96  3.54  4.42  4.78  7.26  5.84  4.42  1.95  3.36   565 
EPI ISL 234885|A/USA/788-1T/2011|2011-04-10                       5.50  2.33  5.50  5.50  4.02  7.82  2.11  7.40  6.13  6.98  1.27  8.88  3.81  4.65  5.50  7.19  5.71  4.65  1.69  3.38   473 
EPI ISL 189307|A/Houston/JMM 147/2013|2013-01-19                  5.83  3.18  4.95  4.95  4.06  7.77  2.12  8.30  6.01  7.77  1.59  8.48  3.53  4.42  4.59  7.07  5.83  4.42  1.94  3.18   566 
EPI ISL 90589|A/Alaska/5/2010|2010-08-12                          5.83  3.18  5.12  4.77  4.24  7.24  1.94  8.66  6.18  7.77  1.41  8.30  3.53  4.59  4.77  6.71  6.01  4.59  1.94  3.18   566 
EPI ISL 88045|A/ALASKA/5/2010|2010-08-12                          5.83  3.18  5.12  4.77  4.24  7.24  1.94  8.66  6.18  7.77  1.41  8.30  3.53  4.59  4.77  6.71  6.01  4.59  1.94  3.18   566 
EPI ISL 95254|IVR-161(A/ALASKA/5/2010)|2011-07-07                 5.83  3.18  5.12  4.77  4.24  7.24  1.94  8.66  6.18  7.77  1.41  8.30  3.53  4.59  4.77  6.71  6.01  4.59  1.94  3.18   566 
EPI ISL 234886|A/USA/788-3T/2011|2011-04-12                       5.54  2.35  5.54  5.54  4.05  7.68  2.13  7.46  5.76  7.04  1.28  8.74  3.84  4.69  5.54  7.04  5.97  4.69  1.71  3.41   469 
